Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides
Conv1,227,227,7,7,3,64,2,
Res2a_branch2a,56,56,3,3,64,64,1,
Res2a_branch2b,56,56,3,3,64,64,1,
Res2b_branch2a,56,56,3,3,64,64,1,
Res2b_branch2b,56,56,3,3,64,64,1,
Res3a_branch2a,28,28,3,3,64,128,2,
Res3a_branch2b,28,28,3,3,128,128,1,
Res3b_branch2a,28,28,3,3,128,128,1,
Res3b_branch2b,28,28,3,3,128,128,1,
Res4a_branch2a,14,14,3,3,128,256,2,
Res4a_branch2b,14,14,3,3,256,256,1,
Res4b_branch2a,14,14,3,3,256,256,1,
Res4b_branch2b,14,14,3,3,256,256,1,
Res5a_branch2a,7,7,3,3,256,512,2,
Res5a_branch2b,7,7,3,3,512,512,1,
Res5b_branch2a,7,7,3,3,512,512,1,
Res5b_branch2b,7,7,3,3,512,512,1,
Output,1,1,1,1,512,1000,1,
